Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Dipartimento di Scienze Giurdiche Antonio Cicu;2016;2016-01-31T11:09:55Z;3979367436;11.3565979;44.4950975
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Ex Chiesa di Santa Lucia;2015;2015-11-20T09:41:33Z;343487022;11.3480152;44.4897021
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Facoltà di Scienze Politiche;2014;2014-04-13T13:07:44Z;1625924206;11.3538014999999;44.490997
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Instituto di Cancerologia;2016;2016-01-31T11:09:54Z;3979367433;11.3575339999999;44.4950716999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Instituto Zoni;2016;2016-01-31T11:09:55Z;3979367439;11.3565416;44.4960177999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Johns Hopkins University;2015;2015-06-22T19:50:09Z;3611242959;11.3558967;44.4947701999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Opera Universitaria - Collegio Forni;2016;2016-01-31T11:09:55Z;3979367434;11.3566997999999;44.4946162999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Scuola di Ingegneria e Architettura;2015;2015-11-18T11:01:07Z;1638063755;11.3295096;44.4876721999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Sistema Bibliotecario d'ateneo;2016;2016-01-31T11:09:55Z;3979367437;11.3565334999999;44.4953577
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Aule Ercolani;2016;2016-02-01T15:39:10Z;1627377042;11.3564536;44.4972337999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Arti Vi;2013;2013-09-25T13:41:06Z;762208519;11.3552933;44.4883444
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Chimica;2012;2012-02-10T21:06:52Z;1627376999;11.3559037;44.4961229
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Chimica;2015;2015-01-15T18:58:46Z;1627376995;11.3539308;44.4962446999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Fisica;2014;2014-05-01T12:11:26Z;1622295901;11.3572886;44.5012978
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Geologi;2015;2015-01-15T18:59:12Z;1627377003;11.3557399;44.4976069
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Matemat;2015;2015-01-20T21:27:24Z;1627377019;11.3558957;44.4979532999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Musica;2013;2013-09-25T13:39:39Z;1735448481;11.3350615;44.5024143999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Patolog;2013;2013-03-10T13:56:50Z;1627377023;11.3557428;44.4968155999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Scienze;2012;2012-02-10T21:06:53Z;1627377026;11.3560239;44.4970629999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Scienze;2013;2013-10-16T16:43:47Z;1627377024;11.3537357;44.4957660999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Scienze;2014;2014-03-30T10:28:44Z;1704277275;11.3521483;44.4977209999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento di Scienze;2015;2015-08-07T14:35:13Z;1627377047;11.3545049;44.4960519999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Dipartimento Medicina e;2013;2013-10-16T16:43:47Z;1627376991;11.3552076;44.4967729
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna facoltà di economia;2014;2014-09-28T00:35:53Z;2828872501;11.3592052999999;44.5015368999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna - Facoltà di Farmacia -;2013;2013-03-10T13:59:48Z;1628350078;11.3587064;44.4988463999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Università di Bologna servizio disabili;2014;2014-05-01T12:10:50Z;2828871001;11.3583854;44.5017587
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Via Mario Fantin;2012;2012-07-14T11:46:32Z;1617000773;11.3282674;44.51332
ARGENTA;FERRARA;Emilia-Romagna;Università degli Studi di Ferrara - Sede di Arg;2013;2013-06-07T22:33:20Z;2330777515;11.8373659;44.6181843999999
CENTO;FERRARA;Emilia-Romagna;CenTec;2016;2016-01-10T11:43:06Z;3937480941;11.2911933999999;44.7279366
FERRARA;FERRARA;Emilia-Romagna;Dipartimento di Fisica e Scienze della Terra;2012;2012-10-10T10:27:49Z;1251277284;11.6214785;44.8419078
FERRARA;FERRARA;Emilia-Romagna;Dipartimento di Matematica;2014;2014-07-06T20:11:45Z;2714279712;11.6299124;44.838616
FERRARA;FERRARA;Emilia-Romagna;Dipartimento di Morfologia, Chirurgia, Medicina;2012;2012-10-10T10:35:07Z;1956451290;11.6333898999999;44.8379893999999
FERRARA;FERRARA;Emilia-Romagna;Dipartimento di Scienze biomediche e Chirurgico;2012;2012-10-10T10:32:23Z;1956451289;11.6314635;44.8327399
FERRARA;FERRARA;Emilia-Romagna;Dipartimento di Scienze chimiche e Farmaceutiche;2012;2012-10-10T10:35:06Z;1956455563;11.6322741;44.8378372999999
FERRARA;FERRARA;Emilia-Romagna;Dipartimento di Scienze mediche;2012;2012-10-10T10:36:34Z;1956459111;11.6319093;44.8369926
FERRARA;FERRARA;Emilia-Romagna;Dipartimento di Studi umanistici;2012;2012-10-10T10:37:59Z;1956461510;11.6211912;44.8323438999999
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Architettura;2012;2012-10-10T10:13:15Z;1234669427;11.6222365;44.8281934
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Economia;2012;2012-10-10T10:13:15Z;1251278730;11.6223043;44.8354357999999
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Farmacia;2012;2012-10-10T10:19:47Z;1956435100;11.6316811999999;44.8372694999999
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Giurisprudenza;2012;2012-10-10T10:13:15Z;1251278963;11.6221755;44.8449756999999
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Ingegneria;2015;2015-10-07T12:35:00Z;1956436874;11.5984003;44.8340883999999
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Lettere e Filosofia;2014;2014-02-15T21:25:55Z;966006988;11.6276857;44.8323316
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Medicina e Chirurgia;2012;2012-10-10T10:19:47Z;1956435099;11.6324267999999;44.8366305999999
FERRARA;FERRARA;Emilia-Romagna;Facoltà di Scienze Matematiche, Fisiche e Natur;2012;2012-10-10T10:22:56Z;1956438074;11.6219079999999;44.8421875
FERRARA;FERRARA;Emilia-Romagna;Università degli Studi di Ferrara;2014;2014-02-15T21:47:55Z;965900786;11.6263972;44.8333777
RAVENNA;RAVENNA;Emilia-Romagna;Università Degli Studi di Bologna;2009;2009-12-20T16:04:39Z;597325755;12.2020485999999;44.4172206
RAVENNA;RAVENNA;Emilia-Romagna;Università di Bologna - Agraria;2009;2009-11-01T11:15:05Z;549766378;12.1969742;44.4353241999999
RAVENNA;RAVENNA;Emilia-Romagna;Università di Bologna - Scienze Ambientali;2015;2015-02-01T10:24:14Z;549766379;12.1963203;44.434283
CESENA;FORLI';Emilia-Romagna;Facoltà di Architettura;2010;2010-08-02T21:37:09Z;254318200;12.2417254999999;44.1453355
CESENA;FORLI';Emilia-Romagna;Facoltà di Architettura;2010;2010-08-02T21:37:21Z;254318199;12.2399214;44.1447451
CESENA;FORLI';Emilia-Romagna;Ingegneria e Scienze Informatiche;2015;2015-05-05T18:45:30Z;254443124;12.2429769;44.1398383
FORLI';FORLI';Emilia-Romagna;;2011;2011-02-05T18:15:00Z;1137764663;12.063354;44.2139961
FORLI';FORLI';Emilia-Romagna;;2011;2011-02-06T23:43:28Z;1140063628;12.0468676;44.2196507
PESARO;PESARO E URBINO;Marche;università;2013;2013-07-10T19:17:43Z;2380485516;12.9080941;43.9211716
URBINO;PESARO E URBINO;Marche;Centro Integrato Servizi Didattici ed E-Learning;2015;2015-11-28T18:06:48Z;3865504452;12.6380221;43.7245542
URBINO;PESARO E URBINO;Marche;Centro Linguistico d'Ateneo;2015;2015-11-28T18:06:48Z;2330339690;12.637762;43.7255728
URBINO;PESARO E URBINO;Marche;Dipartimento Economia, Società, Politica;2015;2015-11-28T17:46:58Z;3865483066;12.6365011;43.7225891
URBINO;PESARO E URBINO;Marche;Dipartimento Giurisprudenza;2015;2015-11-28T17:46:59Z;3865483067;12.6360683999999;43.7218986999999
URBINO;PESARO E URBINO;Marche;Dipartimento Scienze Biomolecolari;2015;2015-11-28T17:46:59Z;3865483068;12.6368667;43.723227
URBINO;PESARO E URBINO;Marche;Dipartimento Scienze della Comunicazione e Disci;2015;2015-11-28T17:46:59Z;3865483071;12.6366383;43.7221029
URBINO;PESARO E URBINO;Marche;Dipartimento Scienze della Terra, della Vita e d;2015;2015-11-28T17:47:00Z;3865483072;12.6412627;43.7007151999999
URBINO;PESARO E URBINO;Marche;Dipartimento Scienze dell'Uomo;2015;2015-11-28T17:46:59Z;3865483070;12.6361159;43.7275124
URBINO;PESARO E URBINO;Marche;Dipartimento Scienze di Base e Fondamenti;2015;2015-11-28T17:47:00Z;3865483073;12.6365557;43.7262962
URBINO;PESARO E URBINO;Marche;Dipartimento Scienze Pure e Applicate;2015;2015-11-28T17:46:59Z;3865483069;12.6365712;43.7262863999999
URBINO;PESARO E URBINO;Marche;Dipartimento Studi Internazionali. Storia, Lingu;2015;2015-11-28T17:47:00Z;3865483074;12.6370663;43.7235042
URBINO;PESARO E URBINO;Marche;Dipartimento Studi Umanistici;2015;2015-11-28T17:47:00Z;3865483075;12.6361139;43.7275005999999
URBINO;PESARO E URBINO;Marche;Sede centrale Università degli Studi di Urbino;2015;2015-11-28T17:47:00Z;3865483076;12.6366992;43.7232299
CAMERINO;MACERATA;Marche;;2009;2009-04-07T11:01:53Z;370531566;13.0689129;43.1357551999999
MACERATA;MACERATA;Marche;Dipartimento di Lettere e Filosofia;2013;2013-06-06T17:08:56Z;1206763372;13.4490435;43.3009625999999
MACERATA;MACERATA;Marche;Dipartimento di Scienze dell'educazione e della;2013;2013-11-16T23:59:47Z;518992253;13.4735222;43.287322
MACERATA;MACERATA;Marche;Residenza Universitaria Bartolo da Sassoferrato;2013;2013-11-19T00:11:10Z;560716173;13.4539696;43.2966696
MACERATA;MACERATA;Marche;Università - Facoltà Giurisprudenza - Aula mag;2013;2013-04-22T09:50:29Z;1905647261;13.4539988;43.3002127999999
EMPOLI;CITTA' METROPOLITANA DI FIRENZE;Toscana;Urbanistica e Pianificazione;2013;2013-06-26T09:25:53Z;304213834;10.9481594999999;43.718035
FIRENZE;CITTA' METROPOLITANA DI FIRENZE;Toscana;Accademia Italiana;2012;2012-10-27T21:03:49Z;1986154724;11.2493373;43.7657625
FIRENZE;CITTA' METROPOLITANA DI FIRENZE;Toscana;Florence Design Academy;2013;2013-03-15T12:34:01Z;1283599989;11.255589;43.7738209999999
FIRENZE;CITTA' METROPOLITANA DI FIRENZE;Toscana;ISIA Firenze;2014;2014-05-26T11:54:23Z;2881572256;11.2603785999999;43.7755273
PISA;PISA;Toscana;Alma Artis Academy - Accademia di Belle Arti;2015;2015-08-13T19:27:22Z;3695848052;10.3964205;43.7174776
PISA;PISA;Toscana;Aula AM-1;2015;2015-06-23T09:06:56Z;2463332403;10.4072125;43.7200603
PISA;PISA;Toscana;Chimica farmaceutica;2008;2008-07-13T16:54:47Z;278236100;10.388763;43.7165801
PISA;PISA;Toscana;Dipartimento di Fisica 'E. Fermi';2015;2015-09-08T20:34:44Z;1715982941;10.4078976;43.7201299
PISA;PISA;Toscana;Dipartimento di Informatica;2015;2015-07-04T19:23:24Z;1715982961;10.4082249;43.7203779999999
PISA;PISA;Toscana;Dipartimento di Scienze Politiche;2015;2015-12-01T13:50:59Z;3483952526;10.3990809;43.7169638
PISA;PISA;Toscana;Facoltà di Economia;2014;2014-03-07T13:06:06Z;1419100971;10.4104268;43.7111658
PISA;PISA;Toscana;Facoltà di Lettere;2009;2009-01-30T11:29:37Z;339093139;10.3970149;43.7176662999999
PISA;PISA;Toscana;Facoltà di Medicina;2015;2015-10-28T18:41:13Z;3807132463;10.3952788;43.7203537999999
